URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH,,,,,,,,,,,
blackassign0001,https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,63,22,0.4823529355017302,0.10083036761467334,10.44578313253012,0.42675893886966554,4.349016828559915,10.44578313253012,370,862,2.51056338,17,6.527842227378191,,,,,,,,,,,
blackassign0002,https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,57,23,0.4249999946875001,0.079051383,11.91358024691358,0.45077720207253885,4.945742979594448,11.91358024691358,435,957,2.525133689839572,12,6.819226750261233,,,,,,,,,,,
blackassign0003,https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,44,23,0.3134328311427936,0.093575419,12.072727272727272,0.45933734939759036,5.012825848849945,12.072727272727272,305,659,2.4824961948249618,18,6.834597875569044,,,,,,,,,,,
blackassign0004,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,26,12,0.36842104293628836,0.084821428,8.934782608695652,0.45742092457420924,3.756881413307945,8.934782608695652,188,407,2.4651741293532337,7,6.796068796068796,,,,,,,,,,,
blackassign0005,https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,37,13,0.47999999040000024,0.12376237593128125,10.944444444444445,0.4137055837563452,4.543260011280316,10.944444444444445,163,392,2.2713178294573644,2,6.369897959183674,,,,,,,,,,,
blackassign0006,https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,66,39,0.2571428546938776,0.086277732,13.767441860465116,0.47719594594594594,5.697855122564425,13.767441860465116,565,1178,2.611683848797251,9,6.761460101867572,,,,,,,,,,,
blackassign0007,https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,46,61,-0.140186915,0.084853291,10.84,0.4547970479704797,4.517918819188192,10.84,493,1077,2.4545454545454546,1,6.790157845868152,,,,,,,,,,,
blackassign0008,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,36,20,0.285714281,0.080808081,12.181818181818182,0.5522388059701493,5.0936227951153334,12.181818181818182,370,667,2.789237668161435,8,7.491754122938531,,,,,,,,,,,
blackassign0009,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,30,28,0.034482758,0.074454429,10.068493150684931,0.4380952380952381,4.202635355512068,10.068493150684931,322,734,2.518361581920904,6,6.513623978201635,,,,,,,,,,,
blackassign0010,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,58,23,0.43209876009754616,0.10519480505818857,10.828947368421053,0.47144592952612396,4.520157319178871,10.828947368421053,388,820,2.564259485924113,32,6.842682926829268,,,,,,,,,,,
